DataType,IterationNumber,numPoints,runs,trueBeta,MCLTSBetaAvg,MCLTSBetaAvgError,MCLTSBetaStd,NoisyStatsBetaAvg,NoisyStatsBetaAvgError,NoisyStatsStd,
Outlier,75,75,10,23.67684040996651,21.328999597710208,2.347840812256301,1.5168825764596765,0.24629200430652745,23.43054840565998,0.7875151118925566,
Gaussian,75,75,10,0.8886975673506519,0.7991554880472567,0.0895420793033952,0.017268906350264436,0.18999136582749782,0.698706201523154,2.361364976217615,
Bimodal,75,75,10,0.44644328235628933,0.12217586236004338,0.324267419996246,0.09197746679609989,0.005651686772443232,0.4407915955838461,0.6279392926626054,
Outlier,75,75,10,28.872456517232287,27.854279098430673,1.0181774188016135,1.0736524547097985,0.2417086944364816,28.630747822795804,0.8832304436788668,
Gaussian,75,75,10,0.6812999755566101,0.6941631438572983,0.012863168300688121,0.020576803980965702,0.014290346108729323,0.6670096294478808,1.0071054202564054,
Bimodal,75,75,10,0.49641809127528924,1.71852852093437,1.2221104296590806,0.7452223314953124,-0.18254207333916184,0.6789601646144511,0.641082905362043,
Outlier,75,75,10,29.02462924227006,28.805506229593078,0.21912301267698098,0.6588721277429759,-0.12912553478313157,29.15375477705319,5.9123826633704795,
Gaussian,75,75,10,0.9978058267182581,0.9862503514998329,0.01155547521842526,0.021834176852456384,0.08688332544034766,0.9109225012779105,8.257619699402303,
Bimodal,75,75,10,0.5218361263527335,1.3764262107354275,0.854590084382694,0.48383928388700564,-0.1337041745380496,0.6555403008907831,1.4124005595102527,
Outlier,75,75,10,28.955772622476953,38.443044798150716,9.487272175673763,5.804122050410677,-0.10511237845750401,29.06088500093446,0.9321852416303561,
Gaussian,75,75,10,0.7003141423586995,0.5958370516776178,0.10447709068108169,0.059303732012006456,0.6884551190409904,0.01185902331770905,1.9166767034556251,
Bimodal,75,75,10,0.4962641091435098,1.7612583307319252,1.2649942215884153,0.8105435683803502,1.8564661076990394,1.3602019985555296,3.119664765736366,
Outlier,75,75,10,28.84528902287118,31.64520079588516,2.799911773013978,3.3604114876040367,-6.204996122681523,35.05028514555271,7.317357123526861,
